X,Y,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_,RSSI__WiFi_signal_strength_dBm_,Hardware_Issues,Age_of_Data_at_Check__minutes_,ObjectId
-8798216.99543568,4291340.47123719,2019/08/18 21:01:49+00,17.29,16.24,17.41,18.82,19.17,17.9,15.45,101,41,1002.27,Chapel Hill Public Library,outside,35.932522,-79.035728,278,-80,3,,10042
-8798216.99543568,4291340.47123719,2019/08/18 21:58:27+00,16.67,16.29,17.38,18.78,19.16,17.9,15.45,101,41,1002.05,Chapel Hill Public Library,outside,35.932522,-79.035728,368,-85,6,,10043
-8798216.99543568,4291340.47123719,2019/08/18 21:58:27+00,16.67,16.29,17.38,18.78,19.16,17.9,15.45,101,41,1002.05,Chapel Hill Public Library,outside,35.932522,-79.035728,368,-85,66,,10044
-8798216.99543568,4291340.47123719,2019/08/18 21:58:27+00,16.67,16.29,17.38,18.78,19.16,17.9,15.45,101,41,1002.05,Chapel Hill Public Library,outside,35.932522,-79.035728,368,-85,126,,10045
-8798216.99543568,4291340.47123719,2019/08/18 21:58:27+00,16.67,16.29,17.38,18.78,19.16,17.9,15.45,101,41,1002.05,Chapel Hill Public Library,outside,35.932522,-79.035728,368,-85,186,,10046
-8798216.99543568,4291340.47123719,2019/08/18 21:58:27+00,16.67,16.29,17.38,18.78,19.16,17.9,15.45,101,41,1002.05,Chapel Hill Public Library,outside,35.932522,-79.035728,368,-85,246,,10047
-8798216.99543568,4291340.47123719,2019/08/18 21:58:27+00,16.67,16.29,17.38,18.78,19.16,17.9,15.45,101,41,1002.05,Chapel Hill Public Library,outside,35.932522,-79.035728,368,-85,306,,10048
-8798216.99543568,4291340.47123719,2019/08/18 21:58:27+00,16.67,16.29,17.38,18.78,19.16,17.9,15.45,101,41,1002.05,Chapel Hill Public Library,outside,35.932522,-79.035728,368,-85,366,,10049
-8798216.99543568,4291340.47123719,2019/08/18 21:58:27+00,16.67,16.29,17.38,18.78,19.16,17.9,15.45,101,41,1002.05,Chapel Hill Public Library,outside,35.932522,-79.035728,368,-85,426,,10050
-8798216.99543568,4291340.47123719,2019/08/18 21:58:27+00,16.67,16.29,17.38,18.78,19.16,17.9,15.45,101,41,1002.05,Chapel Hill Public Library,outside,35.932522,-79.035728,368,-85,486,,10051
-8798216.99543568,4291340.47123719,2019/08/18 21:58:27+00,16.67,16.29,17.38,18.78,19.16,17.9,15.45,101,41,1002.05,Chapel Hill Public Library,outside,35.932522,-79.035728,368,-85,546,,10052
-8798216.99543568,4291340.47123719,2019/08/18 21:58:27+00,16.67,16.29,17.38,18.78,19.16,17.9,15.45,101,41,1002.05,Chapel Hill Public Library,outside,35.932522,-79.035728,368,-85,606,,10053
-8798216.99543568,4291340.47123719,2019/08/18 21:58:27+00,16.67,16.29,17.38,18.78,19.16,17.9,15.45,101,41,1002.05,Chapel Hill Public Library,outside,35.932522,-79.035728,368,-85,666,,10054
-8798216.99543568,4291340.47123719,2019/08/18 21:58:27+00,16.67,16.29,17.38,18.78,19.16,17.9,15.45,101,41,1002.05,Chapel Hill Public Library,outside,35.932522,-79.035728,368,-85,726,,10055
-8798216.99543568,4291340.47123719,2019/08/18 21:58:27+00,16.67,16.29,17.38,18.78,19.16,17.9,15.45,101,41,1002.05,Chapel Hill Public Library,outside,35.932522,-79.035728,368,-85,786,,10056
-8798216.99543568,4291340.47123719,2019/08/18 21:58:27+00,16.67,16.29,17.38,18.78,19.16,17.9,15.45,101,41,1002.05,Chapel Hill Public Library,outside,35.932522,-79.035728,368,-85,846,,10057
-8798216.99543568,4291340.47123719,2019/08/19 12:29:27+00,26.63,18.24,17.98,19.04,19.2,17.91,15.45,90,57,1005.23,Chapel Hill Public Library,outside,35.932522,-79.035728,1089,-84,35,,10058
-8798216.99543568,4291340.47123719,2019/08/19 13:18:06+00,24.39,20.47,18.84,19.41,19.27,17.93,15.45,93,52,1005.12,Chapel Hill Public Library,outside,35.932522,-79.035728,1521,-84,47,,10059
-8798216.99543568,4291340.47123719,2019/08/19 13:18:06+00,24.39,20.47,18.84,19.41,19.27,17.93,15.45,93,52,1005.12,Chapel Hill Public Library,outside,35.932522,-79.035728,1521,-84,107,,10060
-8798216.99543568,4291340.47123719,2019/08/19 13:18:06+00,24.39,20.47,18.84,19.41,19.27,17.93,15.45,93,52,1005.12,Chapel Hill Public Library,outside,35.932522,-79.035728,1521,-84,167,,10061
-8798216.99543568,4291340.47123719,2019/08/19 16:42:13+00,20.35,20.77,19.41,19.64,19.31,17.95,15.46,104,35,1003.58,Chapel Hill Public Library,outside,35.932522,-79.035728,2266,-85,22,,10062
-8798216.99543568,4291340.47123719,2019/08/19 17:38:23+00,21.68,21.74,20.2,20.03,19.39,17.97,15.46,103,38,1004.42,Chapel Hill Public Library,outside,35.932522,-79.035728,1921,-83,26,,10063
-8798216.99543568,4291340.47123719,2019/08/19 17:38:23+00,21.68,21.74,20.2,20.03,19.39,17.97,15.46,103,38,1004.42,Chapel Hill Public Library,outside,35.932522,-79.035728,1921,-83,86,,10064
-8798216.99543568,4291340.47123719,2019/08/19 20:04:39+00,11.87,17.77,18.93,19.39,19.29,17.95,15.46,98,37,1002.6,Chapel Hill Public Library,outside,35.932522,-79.035728,271,-83,0,,10065
-8798216.99543568,4291340.47123719,2019/08/19 20:43:46+00,11.16,15.72,18.03,18.89,19.2,17.94,15.46,100,37,1002.62,Chapel Hill Public Library,outside,35.932522,-79.035728,607,-84,21,,10066
